8770
+Vehicle;assignments
car0;z23
car1;z3
car2;z3
car3;z6
car4;z16
car5;z19
car6;z21
car7;z0
car8;z20
car9;z4
car10;z9
car11;z12
car12;z10
car13;z17
+Assigned;requests
req0;car12
req2;car10
req4;car10
req6;car12
req7;car13
req8;car11
req9;car12
req10;car8
req11;car10
req12;car6
req13;car11
req15;car9
req16;car4
req17;car8
req18;car9
req20;car11
req21;car5
req22;car3
req23;car13
req24;car3
req25;car1
req26;car9
req27;car7
req28;car2
req29;car0
req30;car13
req31;car8
req33;car13
req35;car2
req37;car4
req38;car7
req39;car10
req40;car10
req42;car6
req43;car5
req44;car12
req45;car11
req46;car12
req48;car3
req49;car5
req50;car1
req51;car7
req52;car12
req54;car8
req55;car11
req56;car3
req57;car2
req59;car7
req60;car3
req61;car5
req63;car13
req64;car11
req65;car13
req66;car9
req67;car0
req68;car0
req70;car8
req71;car13
req72;car6
req73;car9
req74;car4
req75;car11
req76;car3
req78;car1
req79;car1
req81;car4
req83;car0
req84;car6
req85;car4
req86;car5
req87;car13
req88;car7
req91;car6
req92;car2
req95;car1
req96;car2
req97;car5
req98;car8
req99;car4
+Unassigned;requests
req1
req3
req5
req14
req19
req32
req34
req36
req41
req47
req53
req58
req62
req69
req77
req80
req82
req89
req90
req93
req94
