7410
+Vehicle;assignments
car0;z15
car1;z11
car2;z21
car3;z20
car4;z6
car5;z2
car6;z10
car7;z22
car8;z5
car9;z0
car10;z9
car11;z15
car12;z5
car13;z20
car14;z1
car15;z7
car16;z7
car17;z24
car18;z19
car19;z12
car20;z6
car21;z14
car22;z2
car23;z24
car24;z19
car25;z14
car26;z16
car27;z8
car28;z4
car29;z13
car30;z0
car31;z23
car32;z8
car33;z6
car34;z10
car35;z22
car36;z22
car37;z16
car38;z3
car39;z10
car40;z17
car41;z9
car42;z5
car43;z1
car44;z13
car45;z4
car46;z19
car47;z18
car48;z21
car49;z18
car50;z12
car51;z13
car52;z21
car53;z2
car54;z13
car55;z23
car56;z24
car57;z16
car58;z24
car59;z20
car60;z18
car61;z17
car62;z2
car63;z15
car64;z8
car65;z11
car66;z23
car67;z16
car68;z11
car69;z3
car70;z20
+Assigned;requests
req0;car6
req1;car14
req2;car45
req3;car10
req4;car0
req5;car35
req6;car40
req7;car15
req8;car69
req9;car1
req10;car9
req11;car4
req12;car10
req13;car35
req14;car64
req15;car13
req16;car2
req17;car29
req18;car59
req19;car69
req20;car38
req21;car8
req22;car53
req23;car56
req24;car36
req25;car5
req26;car7
req27;car66
req28;car1
req29;car51
req30;car26
req31;car53
req32;car43
req33;car3
req34;car50
req35;car10
req36;car8
req37;car69
req38;car21
req39;car39
req40;car65
req41;car54
req42;car28
req43;car70
req44;car17
req45;car9
req46;car12
req47;car4
req48;car62
req49;car67
req50;car25
req51;car54
req52;car48
req53;car16
req54;car19
req55;car13
req56;car29
req57;car47
req58;car7
req59;car64
req60;car63
req61;car32
req62;car65
req63;car68
req64;car9
req65;car28
req66;car60
req67;car25
req68;car28
req69;car46
req70;car23
req71;car57
req72;car6
req73;car61
req74;car50
req75;car16
req76;car62
req77;car34
req78;car49
req79;car45
req80;car25
req81;car4
req82;car67
req83;car26
req84;car36
req85;car52
req86;car15
req87;car26
req88;car46
req90;car29
req91;car22
req92;car20
req93;car39
req94;car15
req95;car51
req96;car14
req97;car65
req98;car34
req99;car67
req100;car32
req101;car69
req102;car9
req103;car56
req104;car11
req105;car22
req106;car57
req107;car61
req108;car11
req109;car2
req110;car40
req111;car44
req112;car67
req113;car4
req114;car63
req115;car38
req116;car66
req117;car56
req118;car39
req119;car21
req120;car60
req121;car31
req122;car54
req123;car58
req124;car45
req125;car43
req126;car16
req127;car30
req128;car19
req129;car19
req130;car33
req131;car25
req132;car37
req133;car61
req134;car53
req135;car2
req136;car49
req137;car2
req138;car41
req139;car20
req140;car42
req141;car58
req142;car37
req143;car1
req144;car66
req145;car22
req146;car39
req147;car11
req148;car8
req149;car41
req150;car27
req151;car56
req152;car60
req153;car1
req154;car70
req155;car66
req156;car22
req157;car45
req158;car67
req159;car32
req160;car21
req161;car49
req162;car41
req163;car31
req164;car20
req165;car15
req166;car46
req167;car14
req168;car5
req169;car57
req170;car68
req171;car44
req172;car33
req173;car61
req174;car42
req175;car67
req176;car42
req177;car50
req178;car40
req179;car10
req180;car70
req181;car51
req182;car69
req183;car10
req184;car25
req185;car26
req187;car3
req188;car3
req189;car5
req190;car60
req191;car2
req192;car51
req193;car52
req194;car55
req195;car69
req196;car19
req197;car54
req199;car0
req200;car44
req201;car12
req202;car7
req203;car30
req204;car17
req205;car40
req206;car18
req207;car28
req208;car5
req209;car51
req210;car63
req211;car53
req212;car34
req213;car41
req214;car48
req215;car37
req216;car8
req217;car17
req218;car66
req219;car55
req220;car38
req221;car7
req222;car55
req223;car16
req224;car52
req225;car33
req226;car50
req227;car17
req228;car24
req229;car15
req230;car13
req231;car43
req232;car44
req233;car24
req234;car24
req235;car5
req236;car55
req237;car10
req238;car16
req239;car47
req240;car47
req241;car0
req242;car53
req243;car1
req244;car30
req245;car7
req246;car55
req247;car36
req248;car12
req249;car6
req250;car67
req251;car18
req252;car31
req254;car64
req255;car62
req256;car65
req257;car48
req258;car32
req259;car70
req260;car8
req261;car11
req262;car59
req263;car33
req264;car19
req265;car59
req266;car68
req267;car38
req268;car27
req269;car68
req270;car62
req271;car17
req272;car56
req273;car57
req274;car23
req275;car65
req276;car29
req277;car48
req278;car44
req279;car39
req280;car34
req281;car33
req282;car48
req283;car24
req284;car18
req285;car20
req286;car46
req287;car12
req288;car4
req289;car34
req290;car6
req291;car38
req292;car55
req293;car70
req294;car42
req295;car58
req296;car11
req297;car43
req298;car18
req299;car60
req300;car26
req301;car32
req302;car14
req303;car35
req304;car36
req305;car16
req306;car3
req307;car2
req308;car29
req309;car14
req310;car3
req311;car11
req312;car24
req313;car49
req314;car45
req315;car8
req316;car52
req317;car63
req318;car23
req319;car35
req320;car64
req321;car21
req322;car41
req323;car36
req324;car51
req325;car68
req326;car0
req327;car22
req328;car54
req329;car43
req330;car47
req331;car39
req332;car59
req333;car52
req334;car47
req335;car27
req336;car6
req337;car53
req338;car33
req339;car40
req340;car16
req341;car27
req342;car62
req343;car37
req344;car9
req345;car30
req346;car42
req347;car31
req348;car20
req349;car65
req350;car34
req351;car59
req352;car27
req353;car8
req354;car35
req355;car13
req356;car57
req357;car48
req358;car5
req359;car58
+Unassigned;requests
req89
req186
req198
req253
